Nt,J,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,tests_num,corr,select_conf,baseline_items,total_items,expert_cost,theta,filetrs_num
5,3,10,0.16143999999999997,0.11817312046315777,0.0,0.0,Machines-Ensemble,99.31408330236177,0.6354098589544505,71.54210092457987,13.533825009899449,95.51047280497114,3.0974014229771516,50.0,0.0,0.95,20,1000,100,0.3,4
5,3,10,0.07872000000000001,0.056560070721313645,5.11388,2.0539131981658816,Hybrid-Ensemble,98.2505577879912,1.9032159512664883,92.7376823155379,4.711743668587293,97.68884377071531,1.646268917884078,50.0,0.0,0.95,20,1000,100,0.3,4
5,3,10,0.31562,0.10721397110451604,0.0,0.0,Machines-Ensemble,93.82392994036255,1.992527373519188,71.14499589473594,9.347749822149979,91.036337331666,2.942402470121172,50.0,0.2,0.95,20,1000,100,0.3,4
5,3,10,0.10946,0.05730731541435177,6.8138999999999985,4.427167321211161,Hybrid-Ensemble,97.73369528237521,1.7483754620680727,89.3972950234804,7.803771425321154,96.80865483537323,1.65779945191695,50.0,0.2,0.95,20,1000,100,0.3,4
5,3,10,0.48649999999999993,0.1251901353941276,0.0,0.0,Machines-Ensemble,88.09985719260295,3.1863835345401226,70.76461462152083,9.036294886065338,86.05120338061337,3.485464971591021,50.0,0.3,0.95,20,1000,100,0.3,4
5,3,10,0.13854,0.0736522124582826,9.41502,6.5769067455453545,Hybrid-Ensemble,97.64522275966459,2.272381688566764,84.2512027947325,10.894166141110732,96.01676769425129,2.06820619130326,50.0,0.3,0.95,20,1000,100,0.3,4
5,3,10,1.0741799999999997,0.31432210803569,0.0,0.0,Machines-Ensemble,68.91631095643218,9.915402089119606,65.20102769679251,12.14124332294483,68.39446771525084,9.692983453465223,50.0,0.5,0.95,20,1000,100,0.3,4
5,3,10,0.16306,0.05436153419468587,10.88186,4.561629941194266,Hybrid-Ensemble,97.17029547397433,1.878602510306422,80.62659644622794,7.759518372464616,95.26531536078764,1.6286930573429228,50.0,0.5,0.95,20,1000,100,0.3,4
5,3,10,1.5356199999999998,0.45486023743563253,0.0,0.0,Machines-Ensemble,52.983955082381215,14.334362506787626,66.88921749635632,12.461169800350229,53.83869412488482,13.873270969798211,50.0,0.7,0.95,20,1000,100,0.3,4
5,3,10,0.17594,0.06749293592665828,13.39056,5.4522847253605535,Hybrid-Ensemble,97.5813697183998,1.595144109533108,75.94948861324461,8.531009073852486,94.97753434402121,1.8588105886850015,50.0,0.7,0.95,20,1000,100,0.3,4
5,3,10,1.74276,0.6684828661977807,0.0,0.0,Machines-Ensemble,46.860948801955566,25.674834193986996,60.99753204021084,17.064873841171448,46.23575364454012,22.064634055513455,50.0,0.9,0.95,20,1000,100,0.3,4
5,3,10,0.22128,0.1190356316402782,14.14654,5.284943009002084,Hybrid-Ensemble,96.30388220412165,3.5305535818975513,74.46275011837982,10.030177015750933,93.61485747661271,3.398278975796938,50.0,0.9,0.95,20,1000,100,0.3,4
